epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01721,1.41182,2.81448,1.75479,0.61343,0.88256,0.8879,0.6156,1.39332,1.32812,1.25124,0,0,0
2,4.06114,1.24892,2.62073,1.44082,0.59672,0.89734,0.88811,0.61799,1.40521,1.35196,1.25738,1.17822e-06,1.17822e-06,1.17822e-06
3,6.17675,1.14149,4.21673,1.49511,0.5791,0.83333,0.87397,0.61303,1.42009,1.38415,1.26403,2.33288e-06,2.33288e-06,2.33288e-06
4,8.19069,1.26592,2.66746,1.44865,0.54582,0.85515,0.87204,0.60505,1.4544,1.41902,1.27975,3.46397e-06,3.46397e-06,3.46397e-06
5,10.206,1.33646,2.8552,1.63047,0.57008,0.83333,0.87216,0.59728,1.48097,1.45327,1.29635,4.5715e-06,4.5715e-06,4.5715e-06
6,12.2239,1.63146,4.70831,1.92352,0.85379,0.57273,0.87404,0.58056,1.49194,1.50821,1.3112,5.65548e-06,5.65548e-06,5.65548e-06
7,14.2675,1.39116,2.07994,1.54936,0.83807,0.56667,0.88594,0.57715,1.50559,1.54786,1.32164,6.71588e-06,6.71588e-06,6.71588e-06
8,16.2552,1.51714,3.14015,1.78288,0.83515,0.56667,0.88234,0.5469,1.51865,1.62845,1.34289,7.75273e-06,7.75273e-06,7.75273e-06
9,18.2316,1.07359,2.59058,1.35449,0.8178,0.56667,0.77945,0.5384,1.54383,1.69149,1.36145,8.76602e-06,8.76602e-06,8.76602e-06
10,20.215,0.97612,3.33829,1.49101,0.79684,0.56667,0.74397,0.53444,1.55508,1.73786,1.37759,9.75574e-06,9.75574e-06,9.75574e-06
11,22.2016,1.35197,2.74267,1.53578,0.79576,0.58333,0.74426,0.5345,1.5545,1.74939,1.37744,1.07219e-05,1.07219e-05,1.07219e-05
12,24.2048,1.03537,2.0476,1.3949,0.7751,0.58333,0.74434,0.53467,1.55302,1.76719,1.37628,1.16645e-05,1.16645e-05,1.16645e-05
13,26.2374,0.96692,2.56505,1.23012,0.7487,0.58333,0.74416,0.53464,1.52423,1.78124,1.36023,1.25835e-05,1.25835e-05,1.25835e-05
14,28.2433,1.3808,2.41841,1.79172,0.76625,0.58333,0.74312,0.52635,1.51238,1.81121,1.35519,1.3479e-05,1.3479e-05,1.3479e-05
15,30.2684,0.81744,1.69401,1.11952,0.79003,0.41667,0.74164,0.53949,1.50712,1.82779,1.34902,1.43509e-05,1.43509e-05,1.43509e-05
16,32.2697,1.08437,2.12595,1.51749,0.92698,0.37343,0.74164,0.53458,1.51935,1.85067,1.35698,1.51993e-05,1.51993e-05,1.51993e-05
17,34.2932,0.8242,1.64691,1.15798,0.92693,0.37333,0.65989,0.49842,1.52086,1.88104,1.36053,1.60241e-05,1.60241e-05,1.60241e-05
